Survey data are below:,,,,,,,,,,
,,,,,,,,,,
,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10
1,0.252477902,U,1.335764939,-1.294080159,-0.812033851,1.119509193,-1.056962966,-0.481626665,-1.844511372,0.293868421
2,1.24020864,Y,-0.322039804,-0.397933395,-0.755546302,-1.289009211,0.303451596,-0.683458304,0.243839604,-0.973490204
3,-0.397692174,,0.416948171,1.330031606,-0.664596194,-0.372951162,-0.756518384,-1.684175891,2.033929149,0.71906937
4,1.678696751,H,-0.964576325,1.076440167,-0.237067663,0.873979523,NA,0.423294296,-1.253452797,-0.497851719
5,-0.344096944,U,-0.332424357,-0.432531944,-0.663209804,1.104885015,-1.072148117,-1.032856925,1.673088798,-1.019393452
6,1.038989762,P,-1.34944693,-1.026989697,1.499998565,-0.51545593,1.113618609,1.000788535,NA,0.255378756
7,-0.398518371,J,0.190659239,NA,-0.060608941,1.021159022,1.469447155,-0.924017645,0.123152425,0.97964453
8,-1.243168445,G,-0.415684147,0.79629479,-1.003512291,1.136422915,1.795696834,0.480205425,2.156933017,-0.184184667
9,0.570090803,D,0.228513196,-0.415745124,-0.903901939,NA,0.79869294,-0.433640134,-0.640043128,-0.483651322
10,0.140358648,B,-0.02519411,-1.717938475,-0.184944301,0.685048955,0.657397399,-2.213968235,1.205534202,-0.21561895
11,1.143428942,D,-0.774864229,1.178369741,-1.414027371,-0.867496979,-0.177694654,-0.530686631,-0.054017428,-0.066039025
12,-1.34970218,A,2.192182378,1.137708454,-0.580693099,-0.886023837,-2.712527295,0.424787041,0.163999529,0.391806844
13,0.997294016,M,-0.237232994,-1.568015686,1.034772656,0.089513859,0.491173029,0.234589899,-0.451251261,-0.224489657
14,0.457263918,C,0.703217155,1.515595134,-0.81846563,-1.301516786,-0.070839228,0.931516497,1.20740763,-0.135298749
15,-0.01008626,A,1.519893099,-0.152706053,-0.521856686,-1.33778959,-1.048011946,-0.777219792,-1.164501257,-1.145805189
16,-0.661567492,S,-1.19646816,-0.347953545,-0.773069969,-0.613581828,-0.71033894,1.222472539,1.75261063,0.654626337
17,0.03477112,Q,0.953041729,-1.931100032,0.055880026,-0.716914768,-0.294203647,-0.324342358,0.231242776,1.195505425
18,0.451981892,R,0.415392193,-0.086121108,-0.552156701,0.747241869,-0.582938483,0.118213803,0.433744135,2.16997833
19,-1.725084614,J,1.175166301,-0.821724847,-0.418173379,0.957538388,0.144963472,1.499856726,0.441627107,1.594466788
20,-2.410682774,M,-0.327968154,-1.143656712,-0.259870066,-0.187131019,-1.360757895,0.203953316,-1.062871172,0.269454887
21,1.660377222,A,-0.975919339,0.102827561,-0.606285282,0.362192155,-0.646438431,1.169309137,-0.173651351,-2.498072886
22,-1.311987063,P,0.483084559,1.011753326,0.043653412,0.638391664,-0.40900259,-1.552066588,-0.368054947,-0.414354768
23,-0.160694666,D,0.796746908,0.885005917,1.077868178,-1.296050326,0.781815994,0.921740776,-0.832255348,0.42564549
24,-0.804442515,I,1.093574903,-1.000993285,0.089297529,1.067558547,-1.09204944,1.228383075,-0.413580553,-0.09465161
25,-0.611923611,C,0.68690007,0.047286058,-0.503547062,-1.09445688,-0.247379826,-1.565880121,1.751084867,-0.817157614
26,-1.994030663,Y,1.494040288,1.38342048,1.905501362,-0.375835531,-0.090377529,-1.313409167,1.243914534,1.36492784
27,0.951273657,M,0.535708402,1.266647397,-1.454256097,-0.83301953,0.292680624,-0.087229654,-0.5623028,-0.737039285
28,-1.112471568,E,-0.497960475,0.409307472,1.039214769,1.801460655,-1.175016535,0.20207824,-0.858800137,-0.286117912
29,0.229277794,F,-0.334238122,0.806330297,-1.169499062,-0.676936491,0.438436339,-0.391723899,-0.564690961,0.626909408
30,0.856223026,Z,0.045762485,0.600124975,0.208247981,0.36489552,0.121650125,-0.288312517,-0.513658092,0.019907071
31,-0.236905081,I,0.300382132,-0.686300101,0.325664041,-0.171269975,-1.68496922,-0.528927509,0.42982797,-0.625484084
32,0.931973579,R,0.707691138,0.111960992,0.027942113,-1.38588578,0.656755956,-1.229752872,0.882861712,-1.0502036
33,0.518786248,P,1.064221914,-0.590018804,-0.107955153,0.93316444,-1.380807894,1.76469087,1.023953306,-0.565363608
34,0.865384444,W,1.980191644,-0.962879039,-0.605155075,-0.032622311,1.253579207,-1.563274774,-1.635051473,0.364085124
35,0.054851439,X,-0.314868563,1.523531681,-0.63142574,0.20603896,-1.927782549,-1.378718874,-0.505739074,0.343675587
36,-0.075081075,Q,0.235652081,-0.982116813,1.021679637,-1.767539737,-0.519934814,0.768149583,-0.593384624,1.400019978
37,-0.144778229,B,-0.186284429,-0.312358007,1.285506824,-0.399197158,0.267239566,-2.658717159,-0.079416311,-0.002101332
38,0.978072088,Y,-0.945397681,0.170358638,-1.848096073,1.516504416,-0.153354349,0.650824291,-2.422227232,-0.682123141
39,1.104342578,K,-0.366558373,-1.649551845,-0.758247467,1.249426462,1.428386637,-0.297419017,-0.228023957,0.000464071
40,0.161618051,M,-0.255051738,0.095531503,-0.023940344,0.106111873,0.69192055,0.190971242,-0.500972673,2.208696908
41,1.21557652,K,-0.469260415,-2.077144237,0.417486827,0.461897747,1.167523536,0.172274491,-0.842122934,3.196393851
42,0.257120355,Q,0.588293851,-0.382098142,0.496455738,0.758555233,-0.678143203,2.403993727,0.107770335,-0.454109449
43,-0.342424497,E,0.453831592,1.20577413,0.127955687,2.085525954,-0.332501341,-0.105364342,-1.328601323,0.307453867
44,0.579209779,B,-1.716291059,0.731831251,0.106412281,-2.35942758,-0.682641374,-0.965804337,-0.737174791,0.884889613
45,1.647933674,L,-0.107158118,-0.927634559,-0.641617127,1.288550515,-0.254849776,0.108844186,0.901709696,0.506729085
46,0.329559605,S,1.28675364,-2.570641941,-0.944269896,0.408353005,-2.399077333,-0.86366383,-0.313887174,0.000691463
47,-0.500034486,B,-0.264752687,0.852872327,0.44079096,1.875872014,0.383387388,-1.780652442,-1.731295546,-0.443988896
48,0.463615427,E,1.529780952,0.449726884,-1.141054125,0.392718052,0.504465762,-1.231017276,-0.670893843,-0.666982707
49,0.259840192,L,1.051180298,2.034787568,-2.682255977,0.186872123,1.55053743,-2.281219901,-0.243407873,1.578025337
50,-0.15004831,R,-0.37738362,0.620098524,-0.607017816,-0.974472795,0.559480581,-0.401119175,1.204211576,0.732833561
51,-0.785128965,B,-0.088716318,0.706323399,0.009711165,-1.034907906,0.115629626,0.017865892,-0.86303966,-1.037619867
52,0.285823439,F,-0.170511843,-1.235888627,0.548329109,-0.310038751,0.791554504,0.675023098,-0.522041215,0.485222385
53,-0.654020096,O,0.020147408,0.742080158,0.611465955,-0.279804839,-0.555214751,-0.012792338,-0.509676713,-1.080412228
54,0.621069495,T,1.182642961,-0.735345323,0.588823268,2.549076179,-0.127670682,-0.162644884,0.174896634,-1.212664312
55,2.05339782,A,-0.164524583,1.455390446,-0.287153339,0.23663011,0.895980548,-0.210423119,0.198483167,-1.766391492
56,0.432362267,V,0.122326121,1.410586405,-0.372471182,0.456181361,-1.948190681,-1.201673316,-0.599911211,0.693235367
57,-2.614691852,A,2.298308449,-0.56925783,-1.20820876,0.247088167,-0.118883934,-0.546401882,-0.051776238,0.347347241
58,1.635306165,F,-0.593372652,-0.973816675,-0.415672981,-1.769966421,-0.375871374,-0.364093085,-0.476239647,-0.569087074
59,0.175948931,K,-0.469327819,-1.493981495,-0.478245671,0.427686575,0.6534078,0.519998177,-1.894227359,1.184782286
60,-0.723296992,C,-0.299412075,0.173337344,-1.398945045,1.162896258,-1.02582245,0.260946406,-1.683875756,0.441948247
61,-1.083248477,K,0.843958794,1.629578427,0.544404322,-0.287202264,0.154296885,0.997500922,-0.224689251,1.228058609
62,-1.051089199,U,-0.027516971,0.162632945,-1.229194567,0.134499199,0.083272053,1.462610075,-0.349895268,-0.736027469
63,1.016918129,V,-0.437268745,-1.318383963,1.009606483,0.097367449,-0.841195487,0.912915805,1.604572402,0.104733454
64,0.422049837,S,-1.336538639,-0.395598364,0.933586316,-0.126218591,0.872515134,-0.068987584,-0.447372756,1.202645646
65,0.048545967,H,-1.819693269,-0.876054555,-1.240138978,0.053170454,-0.648350396,2.979097934,0.846452052,-0.311539962
66,0.110509878,M,1.596969684,0.428375195,-0.179730173,0.034538407,-0.871503805,-0.245964733,0.228606174,-0.903759114
67,-0.071791744,P,-1.887922775,-3.428329914,0.403451518,-0.318293099,-0.002393287,-1.699738105,0.233690999,0.514421663
68,-1.886463053,V,-0.288706274,-0.082026387,0.789529587,-0.649349601,0.582855702,1.233682943,0.028948444,0.088413569
